Movie,LeadStudio,Genre
He's Just Not That Into You,Warner Bros,Comedy
The Ugly Truth,Independent,Comedy
Up in the Air,Paramount,Drama
Knowing,Summit,Drama
Hannah Montana: The Movie,Disney,Comedy
Where the Wild Things Are,Warner Bros,Adventure
Zombieland,Sony,Action
Coraline,Universal,Animation
Law Abiding Citizen,Independent,Crime
Hotel for Dogs,Paramount,Comedy
Michael Jackson's This Is It,Sony,Documentary
"I Love You, Man",Paramount,Comedy
Obsessed,Sony,Drama
Race to Witch Mountain,Buena Vista,Action
The Final Destination,Warner Bros,Horror
The Taking of Pelham 1 2 3,Sony,Action
Friday the 13th,Paramount,Horror
17 Again,Independent,Comedy
The Time Traveler's Wife,Paramount,Drama
Bruno,Universal,Comedy
Bride Wars,Fox,Comedy
The Haunting in Connecticut,Lionsgate,Drama
Ghosts of Girlfriends Past,Warner Bros,Comedy
Funny People,Universal,Comedy
My Bloody Valentine 3-D,Lionsgate,Crime
Old Dogs,Buena Vista,Comedy
Land of the Lost,Universal,Drama
My Sister's Keeper,Warner Bros,Drama
Underworld: Rise of the Lycans,Sony,Action
Confessions of a Shopaholic,Disney,Comedy
The Lovely Bones,Paramount,Drama
Year One,Sony,Adventure
The Unborn,Relativity Media,Horror
Planet 51,Independent,Animation
Drag Me to Hell,Universal,Horror
Orphan,Warner Bros,Horror
Duplicity,Universal,Romance
Surrogates,Buena Vista,Action
Ninja Assassin,Warner Bros,Action
Invictus,Warner Bros,Biography
State of Play,Universal,Crime
Notorious,Fox,Biography
The Pink Panther 2,Sony,Adventure
All About Steve,Fox,Comedy
Halloween II,Independent,Horror
The Informant!,Warner Bros,Comedy
The Men Who Stare at Goats,Independent,Comedy
(500) Days of Summer,Fox,Comedy
Push,Summit,Action
9,Focus,Animation
The Soloist,Paramount,Drama
Did You Hear About the Morgans?,Sony,Comedy
The Stepfather,Sony,Mystery
The Uninvited,Paramount,Drama
Brothers,Lionsgate,Drama
Saw VI,Independent,Horror
Dance Flick,Paramount,Action
The Fourth Kind,Universal,Mystery
The International,Sony,Action
Aliens in the Attic,Fox,Adventure
Observe and Report,Warner Bros,Comedy
Love Happens,Universal,Drama
Fame,MGM,Comedy
Fantastic Mr. Fox,Fox,Animation
Gamer,Lionsgate,Action
Nine,Weinstein,Drama
Astro Boy,Summit,Animation
The Invention of Lying,Warner Bros,Comedy
Inkheart,Warner Bros,Adventure
Fired Up!,Independent,Comedy
The Hurt Locker,Independent,Drama
Jennifer's Body,Fox,Comedy
Imagine That,Paramount,Comedy
Adventureland,Miramax,Comedy
Armored,Sony,Action
A Perfect Getaway,Universal,Mystery
The Box,Warner Bros,Drama
I Love You Beth Cooper,Fox,Comedy
Amelia,Independent,Adventure
Cirque du Freak: The Vampire's Assistant,Universal,Action
Crank: High Voltage,Lionsgate,Action
Whip It,Independent,Drama
An Education,Sony,Drama
12 Rounds,Fox,Action
Sunshine Cleaning,Independent,Comedy
Sorority Row,Summit,Horror
Extract,Miramax,Comedy
Not Easily Broken,Independent,Drama
Pandorum,Independent,Action
Whiteout,Warner Bros,Action
Next Day Air,Summit,Action
Away We Go,Focus,Comedy
Dragonball Evolution,Fox,Action
A Serious Man,Universal,Drama
Everybody's Fine,Miramax,Drama
Street Fighter: The Legend of Chun-Li,Fox,Action
My Life in Ruins,Independent,Comedy
"Pirate Radio (The Boat that Rocked, UK)",Focus,Comedy
The Road,Weinstein,Adventure
Taking Woodstock,Focus,Comedy
Post Grad,Fox,Comedy
Whatever Works,Independent,Comedy
Bandslam,Summit,Comedy
127 Hours,Independent,Adventure
A Nightmare on Elm Street,Warner Bros,Horror
Alice in Wonderland,Disney,Adventure
All About Steve,Independent,Comedy
Alpha and Omega,Crest,Animation
Black Swan,Fox,Drama
Brooklyn's Finest,Independent,Action
Buried,Independent,Drama
Burlesque,Paramount,Drama
Case 39,Independent,Horror
Cats & Dogs: The Revenge of Kitty Galore,Independent,Action
Charlie St. Cloud,Universal,Fantasy
City Island,Independent,Comedy
Clash of the Titans,Warner Bros,Action
Conviction,Independent,Biography
Cop Out,Warner Bros,Action
Country Strong,Sony,Drama
Cyrus,Independent,Comedy
Date Night,Fox,Comedy
Daybreakers,Lionsgate,Action
Dear John,Sony,Drama
Death at a Funeral,Independent,Comedy
Despicable Me,Universal,Animation
Devil,Independent,Horror
Diary of a Wimpy Kid,Independent,Comedy
Dinner for Schmucks,Paramount,Comedy
Due Date,Warner Bros,Comedy
Easy A,Sony,Comedy
Eat Pray Love,Sony,Drama
Edge of Darkness,Warner Bros,Crime
Extraordinary Measures,CBS,Drama
Faster,CBS,Action
For Colored Girls,Independent,Drama
From Paris with Love,Independent,Action
Furry Vengeance,Summit,Comedy
Get Him to the Greek,Universal,Comedy
Going the Distance,Warner Bros,Comedy
Green Zone,Universal,Action
Greenberg,Independent,Comedy
Grown Ups,Independent,Comedy
Gulliver's Travels,Fox,Comedy
Harry Potter and the Deathly Hallows Part 1,Warner Bros,Adventure
Hot Tub Time Machine,MGM,Adventure
How to Train Your Dragon,Paramount,Animation
I Love You Phillip Morris,Independent,Comedy
Inception,Warner Bros,Action
Iron Man 2,Paramount,Action
Jackass 3-D,Paramount,Documentary
Jonah Hex,Warner Bros,Action
Just Wright,Fox,Comedy
Kick-Ass,Independent,Action
Killers,Lionsgate,Action
Knight and Day,Fox,Action
Leap Year,Universal,Comedy
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros,Animation
Legion,Independent,Action
Letters to Juliet,Summit,Comedy
Life as We Know It,Independent,Comedy
Little Fockers,Independent,Comedy
Love & Other Drugs,Fox,Comedy
MacGruber,Independent,Action
Machete,Independent,Action
Marmaduke,Fox,Comedy
Megamind,Paramount,Animation
Morning Glory,Independent,Comedy
My Soul to Take,Relativity Media,Horror
Nanny McPhee Returns,Universal,Comedy
Never Let Me Go,Independent,Drama
Our Family Wedding,Independent,Comedy
Paranormal Activity 2,Paramount,Horror
Percy Jackson & the Olympians: The Lightning Thief,Fox,Action
Piranha 3-D,Weinstein,Comedy
Please Give,Sony,Comedy
Predators,Fox,Action
Prince of Persia: The Sands of Time,Disney,Action
Red,Summit,Action
Remember Me,Summit,Drama
Repo Men,Universal,Action
Resident Evil: Afterlife,Highlight Communications,Action
Robin Hood,Universal,Action
Salt,Sony,Action
Saw 3-D,Independent,Crime
Scott Pilgrim vs. the World,Universal,Action
Sex and the City 2,Warner Bros,Comedy
She's Out of My League,Paramount,Comedy
Shrek Forever After,Paramount,Animation
Shutter Island,Paramount,Drama
Skyline,Independent,Action
Solitary Man,Independent,Comedy
Step Up 3D,Summit,Drama
Stone,Independent,Drama
Takers,Sony,Action
Tangled,Disney,Animation
The A-Team,Fox,Action
The American,Universal,Crime
The Back-up Plan,CBS,Comedy
The Book of Eli,Independent,Action
The Bounty Hunter,Sony,Action
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,Adventure
The Crazies,Liberty Starz,Horror
The Expendables,Independent,Action
The Fighter,Paramount,Drama
The Ghost Writer,Summit,Mystery
The Joneses,Independent,Comedy
The Karate Kid,Sony,Action
The Kids Are All Right,Independent,Comedy
The King's Speech,Independent,Biography
The Last Airbender,Paramount,Action
The Last Exorcism,Independent,Drama
The Last Song,Disney,Drama
The Losers,Warner Bros,Action
The Next Three Days,Lionsgate,Crime
The Other Guys,Sony,Action
The Runaways,Independent,Biography
The Social Network,Sony,Biography
The Sorcerer's Apprentice,Disney,Action
The Spy Next Door,Relativity Media,Action
The Switch,Independent,Comedy
The Tourist,Sony,Thriller
The Town,Warner Bros,Crime
The Twilight Saga: Eclipse,Summit,Drama
The Wolfman,Universal,Drama
Tooth Fairy,Fox,Comedy
Toy Story 3,Disney,Animation
Tron: Legacy,Independent,Action
True Grit,Paramount,Adventure
Unstoppable,Fox,Action
Valentine's Day,Warner Bros,Comedy
Vampires Suck,Independent,Comedy
Wall Street: Money Never Sleeps,Independent,Drama
When in Rome,Disney,Comedy
Why Did I Get Married Too?,Lionsgate,Comedy
Yogi Bear,,Comedy
You Again,Independent,Comedy
You Will Meet a Tall Dark Stranger,Independent,Comedy
Youth in Revolt,Weinstein,Comedy
30 Minutes or Less,Independent,Comedy
50/50,Independent,Comedy
A Dangerous Method,Independent,Drama
A Very Harold and Kumar Christmas,Lionsgate,Comedy
Abduction,Vertigo,Action
Anonymous,Relativity Media,Drama
Another Earth,Independent,Fantasy
Apollo 18,Weinstein,Horror
Arthur,Warner Bros,Comedy
Arthur Christmas,Aardman Animations,Animation
Average,,
Bad Teacher,Independent,Comedy
Battle: Los Angeles,Relativity Media,Action
Beastly,CBS,Romance
Beginners,Independent,Comedy
Bridesmaids,Relativity Media,Comedy
Captain America: The First Avenger,Disney,Action
Cars 2,Pixar,Animation
Cedar Rapids,Fox,Comedy
Colombiana,Sony,Action
Conan the Barbarian,Lionsgate,Action
Contagion,Warner Bros,Thriller
Cowboys and Aliens,Universal,Action
"Crazy, Stupid, Love",Warner Bros,Romance
Diary of a Wimpy Kid 2: Rodrick Rules,Fox,Comedy
Dolphin Tale,Independent,Drama
Don't Be Afraid Of The Dark,Miramax,Horror
Dream House,Morgan Creek,Horror
Drive,Independent,Thriller
Drive Angry,Independent,Action
Dylan Dog: Dead of Night,Independent,Horror
Everything Must Go,Reliance,Drama
Extremely Loud and Incredibly Close,Warner Bros,Drama
Fast Five,Universal,Action
Final Destination 5,New Line,Horror
Footloose,Spyglass Entertainment,Drama
Friends With Benefits,Warner Bros,Romance
Fright Night,DreamWorks,Horror
Gnomeo and Juliet,Disney,Animation
Green Lantern,Warner Bros,Action
Hall Pass,Warner Bros,Comedy
Hanna,Universal,Action
Happy Feet 2,Village Roadshow,Animation
Harry Potter and the Deathly Hallows Part 2,Warner Bros,Fantasy
Hop,Relativity Media,Animation
Horrible Bosses,Warner Bros,Comedy
Hugo,Paramount,Adventure
I Am Number Four,Paramount,Thriller
Immortals,Relativity Media,Action
In Time,Regency Enterprises,Thriller
Insidious,Sony,Horror
J.Edgar,Warner Bros,Drama
Jack and Jill,Happy Madison,Comedy
Johnny English Reborn,Relativity Media,Comedy
Just Go With It,Happy Madison,Romance
Killer Elite,Independent,Action
Kung Fu Panda 2,DreamWorks,Animation
Larry Crowne,Universal,Drama
Limitless,Virgin,Thriller
Machine Gun Preacher,Lionsgate,Action
Margin Call,Independent,Thriller
Mars Needs Moms,Disney,Animation
Midnight in Paris,Sony,Romance
Mission Impossible 4,Paramount,Action
Moneyball,Columbia,Drama
Monte Carlo,Fox,Romance
Mr. Popper's Penguins,Fox,Comedy
My Week with Marilyn,Weinstein,Drama
New Year's Eve,Warner Bros,Romance
No Strings Attached,Spyglass Entertainment,Comedy
One Day,Independent,Romance
Our Idiot Brother,Weinstein,Comedy
Paranormal Activity 3,Independent,Horror
Paul,Relativity Media,Comedy
Pirates of the Caribbean:On Stranger Tides,Disney,Action
Priest,Sony,Action
Puss In Boots,DreamWorks,Animation
Rango,Paramount,Animation
Real Steel,DreamWorks,Action
Red Riding Hood,Warner Bros,Horror
Red State,Independent,Horror
Rio,Fox,Animation
Rise of the Planet of the Apes,Fox,Action
Sanctum,Relativity Media,Action
Scream 4,Weinstein,Horror
Season Of The Witch,Relativity Media,Action
Shame,Independent,Drama
Shark Night 3D,Relativity Media,Horror
Sherlock Holmes 2,Warner Bros,Action
Something Borrowed,Independent,Romance
Soul Surfer,Sony,Drama
Source Code,Summit,Thriller
Spy Kids: All The Time in the World,Weinstein,Action
Sucker Punch,Legendary Pictures,Action
Super 8,Paramount,Horror
Take Me Home Tonight,Relativity Media,Comedy
Take Shelter,Independent,Drama
The Adjustment Bureau,Independent,Thriller
The Adventures of Tintin,Paramount,Adventure
The Artist,Weinstein,Drama
The Beaver,Summit,Drama
The Big Year,Independent,Comedy
The Change Up,Relativity Media,Comedy
The Company Men,Weinstein,Drama
The Conspirator,Independent,Drama
The Debt,Universal,Thriller
The Descendants,Fox,Drama
The Dilemma,Spyglass Entertainment,Comedy
The Eagle,Universal,Action
The Girl With The Dragon Tattoo,Sony,Thriller
The Green Hornet,Columbia,Action
The Hangover Part II,Legendary Pictures,Comedy
The Help,DreamWorks,Drama
The Ides of March,Columbia,Thriller
The Iron Lady,Weinstein,Drama
The Lincoln Lawyer,Lionsgate,Drama
The Mechanic,Independent,Action
The Muppets,Disney,Comedy
The Rite,Warner Bros,Horror
The Roommate,Independent,Horror
The Rum Diary,Independent,Drama
The Sitter,Fox,Comedy
The Smurfs,Sony,Animation
The Thing,Universal,Horror
The Three Musketeers,Independent,Action
The Tree Of Life,Independent,Drama
Thor,Disney,Action
Tinker Tailor Soldier Spy,Focus,Thriller
Tower Heist,Relativity Media,Comedy
Transformers: Dark of the Moon,DreamWorks,Action
Twilight: Breaking Dawn,Independent,Romance
Unknown,Independent,Thriller
War Horse,Disney,Drama
Warrior,Lionsgate,Action
Water For Elephants,Fox,Drama
We Bought a Zoo,Fox,Comedy
What's Your Number,Fox,Comedy
Winnie The Pooh,Disney,Animation
X-Men: First Class,Disney,Action
Your Highness,Universal,Comedy
Zookeeper,Happy Madison,Comedy
21 Jump Street,Sony,
A Late Quartet,Entertainment One,Drama
A Royal Affair,Magnolia,
Abraham Lincoln: Vampire Hunter,Fox,
Agneepath,Eros,
Albert Nobbs,Roadside Attractions,Drama
American Reunion,Universal,
Amour,Sony,Drama
Anna Karenina,Focus,
Arbitrage,Roadside Attractions,
Argo,Warner Bros,
Atlas Shrugged: Part II,Atlas Distribution,Drama
Barfi!,UTV,Comedy
Battleship,Universal,
Beasts of the Southern Wild,Fox Searchlight,
Big Miracle,Universal,
Brave,Buena Vista,
Bully (PG-13),Weinstein,
Casa De Mi Padre,Lionsgate,
Celeste and Jesse Forever,Sony,
Chasing Mavericks,Fox,
Chernobyl Diaries,Warner Bros,
Chronicle (2012),Fox,
Cloud Atlas,Warner Bros,
Contraband,Universal,
Crooked Arrows,Fox,Drama
Dabangg 2,Eros,
Dark Shadows,Warner Bros,
Diary of a Wimpy Kid: Dog Days,Fox,
Django Unchained,Weinstein,
Dr. Seuss' The Lorax,Universal,
Dredd,Lionsgate,
Ek Tha Tiger,Yash Raj,Action
End of Watch,Open Road,
English Vinglish,Eros,
Farewell My Queen,Cohen Media,Drama
Flight,Paramount,
Footnote,Sony,
For Greater Glory,ARC Entertainment,Drama
Frankenweenie,Buena Vista,Animation
Friends with Kids,Roadside Attractions,
Ghost Rider: Spirit of Vengeance,Sony,
Girl in Progress,Lionsgate,
Goon,Magnolia,
Haywire,Relativity Media,Action
Hitchcock,Fox Searchlight,
Hope Springs,Sony,
Hotel Transylvania,Sony,
House at the End of The Street,Relativity Media,
Housefull 2,Eros,
Hyde Park on Hudson,Focus,
Hysteria,Sony,
Ice Age: Continental Drift,Fox,
Jab Tak Hai Jaan,Yash Raj,
Jack Reacher,Paramount,
"Jeff, Who Lives at Home",Paramount,Comedy
Jiro Dreams of Sushi,Magnolia,
John Carter,Buena Vista,
Journey 2: The Mysterious Island,Warner Bros,
Katy Perry: Part of Me,Paramount,
Kid With a Bike,IFC,
Killer Joe,LD Entertainment,Drama
Killing Them Softly,Weinstein,
Last Ounce of Courage,Rocky Mountain,Drama
Lawless,Weinstein,
Les Miserables (2012),Universal,
Life of Pi,Fox,
Lincoln,Buena Vista,
Looper,TriStar,
Madagascar 3: Europe's Most Wanted,DreamWorks,Animation
Magic Mike,Warner Bros,
Man on a Ledge,Summit,Action
Marley,Magnolia,
Marvel's The Avengers,Buena Vista,
MIB 3,Sony,
Mirror Mirror,Relativity Media,
Monsieur Lazhar (U.S.-only),Music Box Films,Drama
Moonrise Kingdom,Focus,
Nitro Circus the Movie 3D,ARC Entertainment,Documentary
October Baby (2012),Samuel Goldwyn,Drama
Paranormal Activity 4,Paramount,Horror
ParaNorman,Focus,
Parental Guidance,Fox,
Pitch Perfect,Universal,
Premium Rush,Sony,
Prometheus,Fox,
Promised Land (2012),Focus,
Raiders of the Lost Ark (IMAX),Paramount,
Red Dawn (2012),FilmDistrict,Action
Red Tails,Fox,
Resident Evil: Retribution,Screen Gems,Action
Rise of the Guardians,DreamWorks,
Robot & Frank,Samuel Goldwyn,Comedy
Rock of Ages,Warner Bros,Musical
Ruby Sparks,Fox Searchlight,Comedy
Rust and Bone,Sony,
Safe (2012),Lionsgate,
Safe House,Universal,
Safety Not Guaranteed,FilmDistrict,
Salmon Fishing in the Yemen,CBS,
Samsara,Oscillloscope,Documentary
Savages (2012),Universal,
Searching for Sugar Man,Sony,
Seeking a Friend for the End of the World,Focus,
Seven Psychopaths,CBS,
Silver Linings Playbook,Weinstein,
Singin' In the Rain (2012 re-release),Warner Bros,
Sinister,Summit,Horror
Skyfall,Sony,
Sleepwalk with Me,IFC,Comedy
Snow White and the Huntsman,Universal,
Sparkle (2012),TriStar,
Step Up Revolution,Summit,Romance
Taken 2,Fox,
Talaash,Reliance,Drama
Ted,Universal,
That's My Boy,Sony,
The Amazing Spider-Man,Sony,
The Apparition,Warner Bros,
The Best Exotic Marigold Hotel,Fox Searchlight,
The Bourne Legacy,Universal,
The Cabin in the Woods,Lionsgate,Horror
The Campaign,Warner Bros,
The Cold Light of Day,Summit,
The Collection,LD Entertainment,
The Dark Knight Rises,Warner Bros,
The Devil Inside,Paramount,
The Dictator,Paramount,
The Expendables 2,Lionsgate,
The Five-Year Engagement,Universal,
The Grey,Open Road,
The Guilt Trip,Paramount,
The Hobbit: An Unexpected Journey,Warner Bros,
The Hunger Games,Lionsgate,
The Impossible,Summit,
The Lucky One,Warner Bros,
The Master,Weinstein,
The Perks of Being a Wallflower,Summit,
The Pirates! Band of Misfits,Sony,
The Possession,Lionsgate,
The Queen of Versailles,Magnolia,
The Raid: Redemption,Sony,
The Sessions,Fox Searchlight,
The Three Stooges,Fox,
The Twilight Saga: Breaking Dawn Part 2,Summit,
The Vow,Screen Gems,
The Watch,Fox,
The Woman in Black,CBS,
This Is 40,Universal,
Total Recall (2012),Sony,
Underworld Awakening,Screen Gems,
